repo,file,hooks_total,useState,useEffect,useCallback,useMemo,useContext,useReducer,useCustom,props,jsx_depth,jsx_elems,conditionals,map_calls,event_handlers,bool_props,has_children,component,prop_names,comment
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/lib/metadata/metadata.tsx,0,0,0,0,0,0,0,0,45,4,200,0,0,0,1,0,createMetadataComponents,"tree;pathname;parsedQuery;metadataContext;interpolatedParams;errorType;serveStreamingMetadata;isRuntimePrefetchable;}: {
  tree: LoaderTree
  pathname: string
  parsedQuery: SearchParams
  metadataContext: MetadataContext
  interpolatedParams: Params
  errorType?: MetadataErrorType | 'redirect'
  serveStreamingMetadata: boolean
  isRuntimePrefetchable: boolean","Use a promise to share the status of the metadata resolving,
returning two components `MetadataTree` and `MetadataOutlet`
`MetadataTree` is the one that will be rendered at first in the content sequence for metadata tags.
`MetadataOutlet` is the one that will be rendered under error boundaries for metadata resolving errors.
In this way we can let the metadata tags always render successfully,
and the error will be caught by the error boundary and trigger fallbacks."
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay.browser.tsx,12,0,2,0,0,2,0,8,50,3,6,0,0,0,0,0,getSerializedOverlayState,,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/dev-overlay.tsx,10,3,0,0,0,2,0,5,2,7,11,0,0,0,0,0,DevOverlay,,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/dev-overlay.stories.tsx,6,0,0,0,0,0,0,6,1,3,8,0,0,0,0,0,getNoSquashedHydrationErrorDetails,,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/icons/light-icon.tsx,0,0,0,0,0,0,0,0,1,4,6,0,0,0,0,0,LightIcon,,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/icons/file.tsx,0,0,0,0,0,0,0,0,6,4,22,0,0,0,0,0,FileIcon,lang }: { lang?: string,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/icons/loading-icon.tsx,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,LoadingIcon,,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/icons/thumbs/thumbs-up.tsx,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,ThumbsUp,props: ComponentProps<'svg'>,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/container/errors.tsx,9,0,0,2,2,0,0,5,21,4,159,0,0,0,0,0,matchLinkType,text: string,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/container/runtime-error/error-cause.tsx,2,0,0,0,2,0,0,0,2,3,7,0,0,0,0,0,ErrorCause,{ cause;dialogResizerRef }: ErrorCauseProps,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/terminal/editor-link.tsx,2,0,0,0,0,0,0,2,2,3,5,0,0,0,0,0,EditorLink,{ file;location }: EditorLinkProps,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/terminal/terminal.tsx,2,0,0,0,0,0,0,2,8,6,14,0,0,0,0,0,getFile,lines: string[],
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/devtools-indicator/next-logo.tsx,19,5,0,0,0,0,0,14,9,8,41,0,0,0,0,0,NextLogo,"{
  onTriggerClick;...buttonProps
}: { onTriggerClick: (",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/devtools-indicator/status-indicator.tsx,0,0,0,0,0,0,0,0,11,4,11,0,0,0,0,0,getCurrentStatus,buildingIndicator: boolean;renderingIndicator: boolean;cacheIndicator: CacheIndicatorState;instantMode?: boolean,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/devtools-indicator/devtools-indicator.tsx,7,0,0,0,0,0,0,7,2,3,3,0,0,0,0,0,DevToolsIndicator,,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/call-stack-frame/call-stack-frame.tsx,2,0,0,0,0,0,0,2,1,4,8,0,0,0,0,0,CallStackFrame,frame,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/call-stack/call-stack.tsx,0,0,0,0,0,0,0,0,5,4,7,0,0,1,1,0,CallStack,"{
  frames;isIgnoreListOpen;ignoredFramesTally;onToggleIgnoreList;}: {
  frames: readonly OriginalStackFrame[]
  isIgnoreListOpen: boolean
  ignoredFramesTally: number
  onToggleIgnoreList: (",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/error-overlay-toolbar/nodejs-inspector-button.tsx,4,0,2,0,0,0,0,2,4,4,62,0,0,0,0,0,NodeJsIcon,props: any,
